"Alpha","Fold","Lambda","MAE","RMSE","R2"
0.5,1,75.324221957264,112.887527567139,137.303912280439,0.337278549223311
0.5,1,67.0350199616135,111.764652473414,135.732368174259,0.352362396865963
0.5,1,59.6580194854646,111.077652186515,134.390410195762,0.365105210416578
0.5,1,53.0928355203911,110.462059577042,133.250464847001,0.375830318460226
0.5,1,47.2501301234464,110.143050453964,132.28650149519,0.384828416407718
0.5,1,42.0503967211388,109.911937220236,131.474492818615,0.392357401635975
0.5,1,37.422878197064,109.701393494107,130.792676709279,0.398643430795153
0.5,1,33.3046040407098,109.510036691168,130.221656730711,0.403882822453244
0.5,1,29.6395334551121,109.402328024357,129.906456656139,0.406765119963815
0.5,1,26.3777927629127,109.419394896511,129.937006094915,0.406486071114982
0.5,1,23.4749967335658,109.43520007335,130.014354235481,0.405779253806134
0.5,1,20.8916445964251,109.613967799598,130.124641386431,0.404770708109198
0.5,1,18.5925825207576,109.552672506743,129.884191903689,0.406968452364771
0.5,1,16.5465252482005,109.38227113646,129.553001854766,0.409988923718991
0.5,1,14.7256303681142,109.233405289193,129.368249938371,0.411670520447778
0.5,1,13.1051194426401,109.250308486956,129.354624956608,0.411794438894762
0.5,1,11.6629408257962,109.446746643327,129.506928263065,0.410408506364843
0.5,1,10.3794695883078,109.895471114488,129.804885627123,0.407692432162782
0.5,1,9.23724046479941,110.338589120614,130.200403327477,0.40407739047172
0.5,1,8.22071018933821,110.728261175249,130.643950404201,0.400010276285886
0.5,1,7.31604598522883,111.109939664017,131.132677274207,0.39551286827065
0.5,1,6.51093733086481,111.658606817099,131.636069996028,0.39086294435702
0.5,1,5.79442844017649,112.159243774266,132.148364213898,0.386112504517241
0.5,1,5.15676917809721,112.578812219014,132.615284501699,0.381766738836253
0.5,1,4.58928238232991,112.897591991332,133.079583138753,0.377430174658077
0.5,1,4.08424578595065,113.153742417618,133.524662576595,0.373258890307655
0.5,1,3.63478693407114,113.473710381439,133.954177980123,0.369220266703245
0.5,1,3.23478966460367,113.799932612541,134.344844966443,0.365535661107387
0.5,1,2.87881088053398,114.165322571793,134.779419767708,0.361424328615893
0.5,1,2.56200648115284,114.542277147491,135.252348567842,0.356935057577589
0.5,1,2.28006544433084,114.878310962044,135.701063564497,0.352661097975446
0.5,1,2.02915116283871,115.179018911477,136.124094478502,0.348618812708229
0.5,1,1.80584923642754,115.448070876337,136.519624307078,0.344827933540547
0.5,1,1.60712100923215,115.717623609352,136.924645973401,0.340934683582106
0.5,1,1.43026222024211,116.000298690894,137.363018607361,0.336707852275016
0.5,1,1.27286620416297,116.253144128073,137.768140306499,0.332789617209762
