"Alpha","Lambda","Mean_MAE","SD_MAE","Mean_RMSE","SD_RMSE","Mean_R2","SD_R2"
0.75,0.297163383179942,119.055611154222,6.4827535036474,141.862875826521,6.34301139957719,0.23741804815248,0.112993585543584
0.75,63.4029139463197,117.932578884477,4.99960103942231,141.915004962237,4.9136713644124,0.240707347946141,0.0575964902733974
0.5,0.396692182256393,119.272107304987,6.6590148009722,142.253470055595,6.85502029686185,0.232405110111632,0.123228669313664
0.25,0.706074823348611,119.25596976167,6.7702586304463,142.257594527003,7.03688877513117,0.232124087382438,0.126076784644501
0.75,0.264461454837596,119.397356885227,6.7424655162955,142.46942039663,7.08711060342207,0.229792192064922,0.126955450832884
0.5,84.6384235689963,118.24327403961,4.86374894882379,142.482368110911,4.85150154995344,0.234764176488688,0.0554726993991274
0.25,119.316038970929,118.330323212683,4.80858813765253,142.630254340497,4.7774666091643,0.233234284142011,0.0543595673706474
0.25,0.628373432179904,119.586812501074,7.08278771894784,142.83487771022,7.81555567282244,0.224875119713529,0.138657767328126
0.5,0.353037411674305,119.659225056092,7.03309146726634,142.928933526885,7.75005462306546,0.224011131479025,0.137144152543339
0.75,0.235358274449537,119.842157325986,7.19958919806129,143.227326474397,8.09012486053146,0.220461627053694,0.141367189842286
0.25,0.559222843263172,119.981339483343,7.49323599235742,143.484695342765,8.70015413884464,0.216744163267098,0.151733926333787
0.5,0.314186716089952,120.084702590963,7.48122963701709,143.632062494338,8.68284554838472,0.215315317739664,0.150296407323796
0.75,71.2429885985663,118.8333062949,4.69090478645853,143.634174211944,4.9454555722355,0.222527927711737,0.0532698894135758
0.25,134.070039923227,119.002686201627,4.59974346665069,143.941608992104,4.78193717892833,0.21931591696979,0.0507251869017425
0.75,0.209457810726634,120.294971561673,7.69379980222227,143.960758216119,9.07012046208156,0.211377838251057,0.15489212832501
0.5,95.1043709194795,119.072175870093,4.60211712097473,144.084071345502,4.87925868799982,0.217759680043155,0.0513202046803893
0.25,0.497682066764738,120.351153921647,7.9080009927706,144.087574054452,9.53740738286236,0.209151572360145,0.163669784763658
0.5,0.279611421631586,120.504037283251,7.95394950425473,144.311810544905,9.612660543858,0.206794879450914,0.163321367322047
0.75,0.186407614421057,120.651430056934,8.08631633205325,144.553829487037,9.91417049421985,0.203738357636532,0.167913899920326
0.25,0.442913665925944,120.726684602789,8.34458601273256,144.706550038854,10.4027668963862,0.201285359384066,0.17594238232297
0.5,0.248841033382369,120.81222373424,8.30437738488835,144.828384504912,10.3840257423421,0.199998687669273,0.175641767779574
0.75,0.165894022254913,120.936589413465,8.41476682709104,145.03063206208,10.6573379921472,0.197336724550894,0.180268377290489
0.25,0.394172361361561,121.01238114253,8.68685781545787,145.171837257139,11.1142378300629,0.195107866085682,0.187125092381584
0.5,0.221456832962972,121.084577061496,8.63359801285516,145.27389287895,11.0946267183049,0.193976051510629,0.187297578069137
0.25,150.648443914528,119.767943376033,4.42561053615567,145.404076456776,4.82792726552009,0.203617550332216,0.0469075166187761
0.75,0.147637888641981,121.207681702027,8.75055447338373,145.467705553735,11.361787681781,0.191404806536623,0.191747389259398
